creator_handle,post_url,total_comments,text_percentage,emoji_percentage,mixed_percentage,result
moa.moon_,https://www.instagram.com/p/DP1gjQuEuFA/,56,75.0,19.64,5.36,Pass
nagina_bopche,https://www.instagram.com/p/DPMQLGfE8JP/,56,82.14,10.71,7.14,Pass
guask__,https://www.instagram.com/p/DQ7LimPCDu4/,58,93.1,5.17,1.72,Pass
mindset.tracker,https://www.instagram.com/p/DPY_wWOgUvX/,43,88.37,6.98,4.65,Fail
danna.mei,https://www.instagram.com/p/DQZOZbrCLWG/,50,84.0,8.0,8.0,Pass
adamyuzaidi,https://www.instagram.com/p/DQjaXlFE21M/,24,91.67,0.0,8.33,Fail
guask__,https://www.instagram.com/p/DQmh9qniBaZ/,60,90.0,1.67,8.33,Pass
uniqlousa,https://www.instagram.com/p/DQCvtYyEWo1/,97,80.41,5.15,14.43,Pass
dumbmidulaa,https://www.instagram.com/p/DP-6-k8EnEu/,50,80.0,4.0,16.0,Pass
noorinandalisha,https://www.instagram.com/p/DPi1yo3iL9Z/,45,80.0,4.44,15.56,Fail
pritisharma__416,https://www.instagram.com/p/DQrqYhvDCL_/,51,78.43,11.76,9.8,Pass
sneha_navanagar__,https://www.instagram.com/p/DQvzvRJEkc6/,47,80.85,10.64,8.51,Fail
mustafa.meer._,https://www.instagram.com/p/DRHqOsViDV8/,22,90.91,0.0,9.09,Fail
amaanpreet_gill,https://www.instagram.com/p/DQYfzFTgP9G/,22,90.91,0.0,9.09,Fail
alive_suitings,https://www.instagram.com/p/DQty6cVEynk/,48,83.33,10.42,6.25,Fail
