creator_handle,post_url,total_comments,text_percentage,emoji_percentage,mixed_percentage,unique_commenters_ratio,EQS,pass
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRplPj3DW8Z/,53,83.02,7.55,9.43,1.0,71.89,Pass
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRaM9UnDdVy/,52,76.92,7.69,15.38,1.0,70.0,Pass
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRXzvjSjci1/,49,83.67,8.16,8.16,1.0,71.83,Fail
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRNZRiEjZ-w/,33,81.82,12.12,6.06,1.0,69.7,Fail
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DQeqBTRjQeI/,27,88.89,0.0,11.11,1.0,76.67,Fail
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DRaKqUaAM5x/,51,82.35,0.0,17.65,1.0,74.7,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DRFdT8PjLnh/,54,87.04,1.85,11.11,1.0,75.37,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DRAYDApgFT1/,50,90.0,2.0,8.0,1.0,76.2,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DQ2HiASgBj_/,58,82.76,0.0,17.24,1.0,74.83,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/reel/DRsN37eANmO/,58,86.21,10.34,3.45,1.0,71.73,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/DHQy5kLSyMO/,55,74.55,10.91,14.55,1.0,68.0,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/CqfCTe4PyqL/,60,83.33,6.67,10.0,1.0,72.33,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/C7UEATJPsAH/,53,77.36,5.66,16.98,1.0,70.94,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/DRuZ1hWj5Ek/,42,78.57,11.9,9.52,1.0,68.81,Fail
asthaatyagii,https://www.instagram.com/asthaatyagii/p/DRmkEV4jzuq/,50,80.0,8.0,12.0,1.0,70.8,Pass
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DRUPTghDHnE/,53,88.68,9.43,1.89,1.0,72.83,Pass
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DROtRmEDLWO/,38,92.11,2.63,5.26,1.0,76.58,Fail
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DQgPNa8jBmW/,28,96.43,3.57,0.0,1.0,77.5,Fail
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DRsToIfDHPw/,24,91.67,0.0,8.33,1.0,77.5,Fail
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DRsSpIXjDiF/,24,100.0,0.0,0.0,1.0,80.0,Fail
